City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Linxia,CN,85.68,scattered clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
191,Banda Aceh,ID,84.61,overcast clouds,5.5577,95.3222,Sulthan Hotel International
192,Nava,MX,81.0,broken clouds,28.4167,-100.7667,Amor
196,Pitsunda,GE,77.18,scattered clouds,43.1592,40.3378,Hotel FREEDOM
197,Gazli,UZ,94.12,clear sky,40.1333,63.45,
198,Roseburg,US,82.89,clear sky,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
199,Sur,OM,94.06,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
207,Sao Felix Do Xingu,BR,75.24,broken clouds,-6.6447,-51.995,Rio Xingu Camping
208,Chernyshevskiy,RU,82.4,overcast clouds,63.0128,112.4714,Chernyseyskiy
209,Manacapuru,BR,75.78,few clouds,-3.2997,-60.6206,Novo Hotel
210,Bonthe,SL,76.21,moderate rain,7.5264,-12.505,Bonthe Holiday Village
217,Arlit,NE,91.15,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
218,Singaparna,ID,79.99,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
219,Houma,US,82.98,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
220,Mirnyy,RU,81.37,overcast clouds,62.5353,113.9611,квартира
230,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
236,El Dorado,US,77.63,clear sky,38.7666,-120.5177,South Fork Group Campground
242,Dandong,CN,81.97,overcast clouds,40.1292,124.3947,Yiranju Farmstay
243,Sabha,LY,82.49,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
246,Meulaboh,ID,84.54,overcast clouds,4.1363,96.1285,Kost Pria
253,Bijie,CN,80.19,clear sky,27.3125,105.2942,Four Points by Sheraton Bijie
254,Yamethin,MM,82.62,overcast clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
255,Acapulco,MX,80.69,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
256,Saint-Georges,GD,79.27,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
260,Chany,RU,76.48,scattered clouds,55.3121,76.7647,Sakura
262,Tessalit,ML,84.24,broken clouds,20.1986,1.0114,
264,Whitehorse,CA,75.09,clear sky,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
265,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
271,Cassano Delle Murge,IT,84.43,broken clouds,40.8928,16.7678,Le Dimore del Garibaldi
272,Kirakira,SB,78.35,overcast clouds,-10.4544,161.9205,SanBiz Lodge
276,Pascagoula,US,79.23,clear sky,30.3658,-88.5561,Regency Inn
278,Ugoofaaru,MV,83.59,overcast clouds,5.6667,73.0,Ungoofaaru Inn
280,Bandarbeyla,SO,83.95,scattered clouds,9.4942,50.8122,JABIR HOTEL
282,Ambulu,ID,82.67,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
285,Black River,JM,77.99,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
286,Khash,IR,86.43,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
288,Rantepao,ID,75.47,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
290,Verkhoyansk,RU,75.78,clear sky,67.5447,133.385,
291,Sabang,ID,83.97,overcast clouds,5.8933,95.3214,Hotel Citra
302,Sladkovo,RU,76.55,clear sky,55.5284,70.3385,Gostinitsa
304,Kavaratti,IN,82.47,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
307,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
310,Jaisalmer,IN,87.6,overcast clouds,26.9147,70.9181,Hotel Fifu
317,Saskylakh,RU,81.63,clear sky,71.9167,114.0833,
319,Buraydah,SA,92.03,clear sky,26.326,43.975,فندق راحة السلام
321,Barahona,DO,79.41,overcast clouds,18.2085,-71.1008,Hotel Caribe
323,Russell,US,78.08,scattered clouds,32.3502,-85.1999,Macs
327,Katobu,ID,88.34,clear sky,-4.9408,122.5276,La Ode Husein
328,Durres,AL,78.98,clear sky,41.3231,19.4414,Palace Hotel & Spa Durrës
329,Port-Gentil,GA,76.42,overcast clouds,-0.7193,8.7815,Fengshui Residence
330,Abu Samrah,SY,82.83,clear sky,35.3029,37.1841,
335,Miri,MY,86.49,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
337,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
341,Bubaque,GW,78.94,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
343,Tolbazy,RU,75.96,overcast clouds,54.0241,55.8825,Business Centre
344,Shenjiamen,CN,82.04,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
345,Ixtepec,MX,75.27,overcast clouds,16.5786,-95.1022,Hotel Express Inn Ixtepec
347,Airai,TL,76.17,scattered clouds,-8.9266,125.4092,Juvinal Martin
355,Marawi,PH,84.6,overcast clouds,7.9986,124.2928,Derogongan Residence
356,Cartagena,CO,78.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
358,Sumenep,ID,87.42,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
359,Alihe,CN,76.75,broken clouds,50.5667,123.7167,Alihe Forestry Hotel
360,Jalu,LY,84.22,clear sky,29.0331,21.5482,صاحبة الفخامة
361,Korla,CN,84.0,broken clouds,41.7597,86.1469,Gulisitan Hotel
363,Samarai,PG,79.41,overcast clouds,-10.6167,150.6667,Nuli Sapi
364,Mitsamiouli,KM,76.53,few clouds,-11.3847,43.2844,Foyer ADM
365,Itoman,JP,88.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
370,Sinjar,IQ,92.62,clear sky,36.3209,41.8754,زوماني فون 1
378,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
379,Mount Isa,AU,92.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
384,Eyl,SO,81.93,scattered clouds,7.9803,49.8164,Amiin Hotel
385,Mutsu,JP,88.0,clear sky,41.2894,141.2169,Mutsu Park Hotel
386,Anshun,CN,82.4,clear sky,26.25,105.9333,安顺麦吉风格酒店
390,Komsomolskiy,UZ,83.62,clear sky,40.4272,71.7189,Ikathouse
391,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
393,Katherine,AU,93.52,few clouds,-14.4667,132.2667,Pine Tree Motel
396,Hobyo,SO,79.2,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
397,Bozhou,CN,88.57,clear sky,33.8772,115.7703,Haitian Hotel
400,Conceicao Do Araguaia,BR,78.06,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
401,Domoni,KM,75.74,broken clouds,-12.2569,44.5319,Al Djadid
408,College,US,75.15,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
412,Mogadishu,SO,76.98,light rain,2.0371,45.3438,Hotel Juba
415,Xiamen,CN,82.24,overcast clouds,24.4798,118.0819,Xiamen Dongchen Hotel
416,Darnah,LY,83.32,clear sky,32.767,22.6367,فندق الفردوس
418,Kalmunai,LK,88.14,overcast clouds,7.4167,81.8167,VS Villa
419,Solnechnyy,RU,77.2,broken clouds,50.7214,136.6319,Hotel complex Pastoral
422,Chiaravalle,IT,75.78,scattered clouds,43.6027,13.3246,Tenuta Hotel Villa Colle Sereno
423,Ternate,ID,84.42,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
427,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
437,Qarqin,AF,92.64,scattered clouds,37.4185,66.0436,
438,Havelock,US,76.95,broken clouds,34.8791,-76.9013,Sherwood Motel
439,Linxi,CN,81.88,light rain,39.7,118.4333,Peace Hotel
440,Baykit,RU,75.9,overcast clouds,61.67,96.37,
442,Tishchenskoye,RU,84.49,clear sky,45.4606,41.6738,
447,Simbahan,PH,84.15,broken clouds,6.3032,120.5836,
448,Tura,IN,81.63,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
454,Baruun-Urt,MN,78.94,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
456,Malinovoye Ozero,RU,86.04,clear sky,51.6753,79.7825,Solonyy Bereg
459,Jiazi,CN,89.87,broken clouds,22.8779,116.067,Hotel Jin Hao
462,Shchebetovka,UA,80.82,clear sky,44.9333,35.15,"Otdykh V Krymu. Gostevoy Dom ""Katyusha"""
464,Tetiz,MX,77.95,broken clouds,20.9667,-89.9333,Jardín Suut K'iin Lool
470,Wajima,JP,85.98,broken clouds,37.4,136.9,Wajiima Onsen Yashio
472,Naze,JP,80.44,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
474,Natchitoches,US,82.38,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
477,Saint Pete Beach,US,86.13,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
479,Pak Phanang,TH,91.04,overcast clouds,8.3511,100.202,Green Park Inn Hotel
481,Lorengau,PG,84.6,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
484,Surt,LY,81.19,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
487,Karratha,AU,76.21,clear sky,-20.7377,116.8463,ibis Styles Karratha
493,Norman Wells,CA,75.25,clear sky,65.282,-126.8329,Heritage Hotel
494,Aloleng,PH,83.43,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
497,Adrar,MR,87.19,scattered clouds,20.5022,-10.0711,
