City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Cairns,AU,2021-27-27 09:29:08,-16.9167,145.7667,73.35,68,75,3.44
67,Chenghai,CN,2021-27-27 09:30:07,23.4632,116.768,94.91,63,40,20.13
68,Kuytun,RU,2021-27-27 09:30:07,54.3419,101.5036,84.18,36,3,9.71
69,Avarua,CK,2021-27-27 09:29:55,-21.2078,-159.775,69.85,88,40,2.3
70,Lata,PT,2021-27-27 09:30:08,40.1629,-8.3327,71.92,46,27,5.37
71,Dali,CN,2021-27-27 09:30:08,25.7,100.1833,73.45,70,98,2.53
72,Nantucket,US,2021-27-27 09:30:09,41.2835,-70.0995,71.96,93,1,3.44
73,Nanchong,CN,2021-27-27 09:30:09,30.7951,106.0847,88.56,61,36,3.87
74,East London,ZA,2021-27-27 09:30:09,-33.0153,27.9116,77.9,25,84,10.74
75,Paveh,IR,2021-27-27 09:30:10,35.0434,46.3565,100.35,10,1,7.09
76,Bluff,NZ,2021-27-27 09:30:10,-46.6,168.3333,45.81,76,89,15.75
77,Sao Filipe,CV,2021-27-27 09:30:11,14.8961,-24.4956,75.47,80,35,8.39
78,Kizukuri,JP,2021-27-27 09:30:11,40.8061,140.3861,79.65,84,80,7.25
79,Victoria,HK,2021-27-27 09:30:07,22.2855,114.1577,95.22,79,99,1.01
80,Thompson,CA,2021-27-27 09:26:34,55.7435,-97.8558,48.36,93,20,0.0
81,Comodoro Rivadavia,AR,2021-27-27 09:30:01,-45.8667,-67.5,44.46,57,90,13.8
82,Broken Hill,AU,2021-27-27 09:30:12,-31.95,141.4333,67.71,21,26,17.27
83,Jamestown,US,2021-27-27 09:27:20,42.097,-79.2353,68.72,92,1,1.01
84,Mahebourg,MU,2021-27-27 09:30:13,-20.4081,57.7,74.25,73,75,12.66
85,Qaanaaq,GL,2021-27-27 09:30:13,77.484,-69.3632,42.58,94,100,8.25
86,Pacific Grove,US,2021-27-27 09:30:13,36.6177,-121.9166,66.29,92,40,8.99
87,Laguna,US,2021-27-27 09:30:14,38.421,-121.4238,79.21,51,1,3.44
88,Ancud,CL,2021-27-27 09:30:14,-41.8697,-73.8203,36.93,83,41,4.97
89,Geraldton,AU,2021-27-27 09:30:14,-28.7667,114.6,63.01,67,90,12.66
90,Meulaboh,ID,2021-27-27 09:30:15,4.1363,96.1285,85.32,68,64,9.46
91,Khani,GE,2021-27-27 09:30:15,41.9563,42.9566,67.57,96,99,1.86
92,Tuktoyaktuk,CA,2021-27-27 09:30:02,69.4541,-133.0374,44.85,76,100,8.77
93,Mana,GF,2021-27-27 09:30:16,5.6592,-53.7767,75.47,91,89,4.83
94,Dutlwe,BW,2021-27-27 09:30:16,-23.9833,23.9,61.09,33,0,10.74
95,Kindu,CD,2021-27-27 09:30:17,-2.95,25.95,92.93,21,87,4.59
96,Corrente,BR,2021-27-27 09:30:17,-3.7367,-43.3394,72.36,91,26,1.54
97,Makubetsu,JP,2021-27-27 09:30:17,45.3714,141.8211,76.71,73,20,2.3
98,Severo-Kurilsk,RU,2021-27-27 09:30:18,50.6789,156.125,58.53,97,87,8.25
99,Albany,US,2021-27-27 09:30:18,42.6001,-73.9662,62.53,89,1,3.15
100,Ojinaga,MX,2021-27-27 09:30:18,29.5667,-104.4167,85.41,34,1,11.5
101,Chinhoyi,ZW,2021-27-27 09:30:19,-17.3667,30.2,69.37,17,53,8.14
102,Saskylakh,RU,2021-27-27 09:30:19,71.9167,114.0833,66.22,51,62,12.48
103,Non Thai,TH,2021-27-27 09:30:20,15.1981,102.0358,88.38,71,83,15.03
104,Taoudenni,ML,2021-27-27 09:30:20,22.6783,-3.9836,108.73,6,12,1.66
105,Goundam,ML,2021-27-27 09:30:21,16.4145,-3.6708,88.81,49,91,17.36
106,Sola,VU,2021-27-27 09:30:21,-13.8833,167.55,80.08,78,69,20.74
107,Killybegs,IE,2021-27-27 09:30:21,54.6333,-8.45,60.51,84,100,10.98
108,Tilichiki,RU,2021-27-27 09:30:22,60.4667,166.1,48.88,94,100,5.37
109,Valdez,EC,2021-27-27 09:30:22,1.2492,-78.9831,76.82,84,99,8.88
110,Quatre Cocos,MU,2021-27-27 09:30:22,-20.2078,57.7625,74.08,72,41,14.47
111,Taree,AU,2021-27-27 09:30:23,-31.9,152.4667,55.33,82,5,5.75
112,Gangtok,IN,2021-27-27 09:30:23,27.3333,88.6167,69.67,93,99,1.86
113,Carnarvon,AU,2021-27-27 09:30:22,-24.8667,113.6333,69.87,64,43,14.97
114,Sao Jose Da Coroa Grande,BR,2021-27-27 09:30:24,-8.8978,-35.1478,75.22,85,38,8.52
115,Longyearbyen,SJ,2021-27-27 09:30:24,78.2186,15.6401,46.24,81,75,3.44
116,Sitka,US,2021-27-27 09:30:18,57.0531,-135.33,58.89,82,90,4.61
117,Hambantota,LK,2021-27-27 09:30:25,6.1241,81.1185,93.54,59,40,18.41
